mean,prediction
8.521610084244458e-07,disgust
7.17375030490075e-07,calm
6.923675641701266e-07,sad
7.839203135517891e-07,neutral
7.998148703336483e-07,calm
1.2883079989478574e-06,fearful
-1.034206817962513e-07,fearful
1.8152872144128196e-05,fearful
2.6878781227424042e-06,calm
-6.657451740466058e-05,angry
5.552503807848552e-07,calm
-1.8564860226888413e-07,disgust
1.1863708095916081e-06,happy
2.75293984941527e-07,fearful
6.571875701411045e-07,sad
9.827084568314604e-07,calm
6.025102265994065e-07,fearful
7.417467084991358e-09,happy
4.158019919486833e-07,calm
1.651340085118136e-06,happy
1.854197216744069e-05,angry
1.0686874702514615e-05,angry
-4.789564300722304e-08,happy
6.535847774102876e-07,disgust
1.1225806701986585e-06,surprised
9.822845186135964e-07,neutral
1.5566083675366826e-06,calm
-2.4687449240445858e-06,disgust
1.5108320212675608e-06,disgust
9.543100532027893e-07,surprised
6.985134746173571e-07,angry
1.023186541715404e-06,sad
9.88218516795314e-07,neutral
1.2929704098496586e-06,sad
9.265475569009141e-07,surprised
1.1969672186751268e-06,happy
1.6129811228893232e-06,disgust
5.137125640430895e-07,happy
8.087158107628056e-07,surprised
9.943644272425445e-07,sad
6.557040705956751e-07,angry
1.4050801837584004e-06,surprised
2.356635206979263e-07,sad
1.4898512290528743e-06,sad
1.0208553931079223e-06,happy
9.758207852428313e-06,angry
6.491343356174184e-07,surprised
-9.935166644936544e-07,fearful
8.735656820135773e-07,calm
1.0100470717588905e-06,neutral
8.000267825991614e-07,happy
2.034208591794595e-05,angry
1.0214911299044616e-06,surprised
5.109575340611627e-07,angry
8.125729436869733e-06,fearful
4.791683636540256e-07,disgust
1.8500433725421317e-05,fearful
1.8755595476704912e-07,disgust
6.966060936974827e-07,sad
5.221896799412207e-07,surprised
2.920362760505668e-07,fearful
-6.760491544355318e-08,angry
-5.054473604104714e-07,neutral
-6.372663960974023e-07,calm
-1.8787384306051536e-06,calm
-4.018147876649891e-07,neutral
-5.022684490540996e-07,calm
5.933973312721719e-09,happy
6.368425147229573e-07,fearful
2.3545159422155848e-07,surprised
4.302130918176772e-08,happy
-7.534027304245683e-07,angry
-1.057730742104468e-06,disgust
1.388125951962138e-06,disgust
2.2994147741428606e-07,surprised
-3.984239356213948e-07,disgust
3.4480623867239046e-07,happy
-2.988179659269008e-08,fearful
3.7150911680328136e-07,surprised
1.1740790739622753e-07,disgust
-6.461673365265597e-07,happy
-7.074144150465145e-07,calm
-4.1113960236316416e-08,surprised
2.449883425015287e-07,happy
-1.8077426489071513e-07,angry
-2.876917506000609e-06,sad
3.507402084323985e-07,angry
-2.0959642199613882e-07,calm
-8.108351039481931e-07,calm
1.4471689610218164e-05,angry
-2.212524350397871e-07,angry
-2.473195479524293e-07,happy
4.1219922763957584e-07,fearful
1.844766484282445e-05,surprised
-7.934570476209046e-07,sad
-8.243984694900064e-08,surprised
-1.0999043809079012e-07,disgust
-6.145901121357156e-09,disgust
-3.5158794275957916e-07,neutral
-6.758372137483093e-07,calm
3.284878289377957e-07,fearful
2.7656554379973386e-07,fearful
-1.5979343004346447e-07,neutral
-9.706285197808029e-08,sad
-5.086263286102621e-07,disgust
-1.0019938372352044e-06,sad
-1.2499491504058824e-06,sad
3.7087335869046e-08,surprised
6.264580747483706e-07,happy
-1.7009735529427417e-05,angry
7.820129610536242e-08,disgust
2.339680946761291e-07,surprised
-8.858575029080384e-07,sad
-1.0982089406752493e-06,calm
1.799265589852439e-07,fearful
4.810756877304811e-07,fearful
1.7335679558527772e-07,happy
3.0983818533059093e-07,angry
-2.450095280437381e-06,sad
-2.6448566359249526e-07,sad
-1.3987223610456567e-06,neutral
4.717508943485882e-07,surprised
-3.171285061398521e-05,fearful
-3.286213177489117e-05,angry
-3.7345885175454896e-06,calm
-8.413526586537046e-08,disgust
3.257327705341595e-07,happy
-1.2990103641641326e-05,angry
-7.307264695555205e-07,sad
-3.5921732433052966e-07,angry
4.909091512672603e-05,surprised
2.2985670966590988e-06,happy
1.415676592841919e-06,calm
-2.112494485118077e-06,disgust
-1.2480418263294268e-06,happy
-3.2054053917818237e-06,disgust
4.4977612560614944e-05,fearful
2.292421186211868e-06,disgust
-2.3697746200923575e-06,calm
2.4588267478975467e-05,surprised
5.4092406571726315e-06,sad
3.902859134541359e-06,surprised
2.263386988943239e-07,calm
-3.549787663814641e-07,angry
1.9323560991324484e-06,neutral
-1.2043847164022736e-06,fearful
-2.871619244615431e-07,neutral
-1.0070800726680318e-06,calm
-2.640194452396827e-06,calm
-2.2532144612341654e-06,fearful
1.7757627574610524e-05,surprised
-2.5573306174919708e-06,calm
-8.081648047664203e-06,calm
-1.5705956002420862e-06,sad
8.731418432716964e-08,surprised
5.463706202135654e-06,angry
-1.8884870769397821e-06,disgust
-1.302973396377638e-05,sad
-0.00014197794371284544,sad
-2.3123423034121515e-06,disgust
